order_id;checkout_id;brand_id;retailer_id;order_amount;has_discount;fees_percentage;payment_cost_percentage;shipping_cost_euro;net_margin;is_profitable
8315;2121;453;1643;166.18;0;0.15;0.05;15;1.618;1
10497;2996;453;1643;124.11;0;0.15;0.05;15;-2.589;0
10337;3604;453;6565;170.65;0;0.15;0.05;15;2.065;1
6165;1994;637;1259;108;0;0.15;0.05;15;-4.2;0
5398;2039;682;4703;135.6;0;0.15;0.05;15;-1.44;0
8982;3189;713;660;116;0;0.15;0.05;15;-3.4;0
6832;2132;716;4854;121.3;0;0.15;0.05;15;-2.87;0
7584;2766;754;17;120;0;0.15;0.05;15;-3;0
4492;1624;754;3317;144;0;0.15;0.05;15;-0.6;0
5014;2128;754;4418;120;0;0.15;0.05;15;-3;0
5253;2026;754;4687;120;0;0.15;0.05;15;-3;0
9048;2370;754;5102;120;0;0.15;0.05;15;-3;0
7379;2526;754;5251;120;0;0.15;0.05;15;-3;0
9778;3347;754;6307;120;0;0.15;0.05;15;-3;0
11511;3958;754;7003;120;0;0.15;0.05;15;-3;0
4279;1720;762;4275;108.84;0;0.15;0.05;15;-4.116;0
4919;1868;783;173;144;100;0.05;0.05;15;-115;0
4299;1624;783;3317;172.8;0;0.15;0.05;15;2.28;1
6629;2404;783;5134;144;0;0.15;0.05;15;-0.6;0
9988;3402;783;5134;144;0;0.15;0.05;15;-0.6;0
10169;620;784;610;108;0;0.15;0.05;15;-4.2;0
5254;2026;784;4687;120;0;0.15;0.05;15;-3;0
8481;3399;814;5134;361.74;0;0.15;0.05;15;21.174;1
11516;3958;827;7003;118.8;0;0.15;0.05;15;-3.12;0
4996;1072;836;2022;198.72;0;0.15;0.05;15;4.872;1
9842;2897;846;5329;122.4;0;0.15;0.05;15;-2.76;0
9626;1328;848;3275;249.6;0;0.15;0.05;15;9.96;1
5788;2285;917;1388;278.4;0;0.15;0.05;15;12.84;1
6741;1993;917;1657;184.8;0;0.15;0.05;15;3.48;1
9238;3004;917;1657;302.4;0;0.15;0.05;15;15.24;1
11099;3293;917;1657;235.2;0;0.15;0.05;15;8.52;1
8856;3166;917;1680;477.6;0;0.15;0.05;15;32.76;1
8531;1121;917;2477;223.2;0;0.15;0.05;15;7.32;1
8361;2586;917;5149;134.4;0;0.15;0.05;15;-1.56;0
11242;3648;917;6613;132;0;0.15;0.05;15;-1.8;0
11391;3877;917;6944;124.8;0;0.15;0.05;15;-2.52;0
10680;2540;923;2079;110.4;0;0.15;0.05;15;-3.96;0
8726;2812;947;5250;176.64;0;0.15;0.05;15;2.664;1
10067;3554;1125;1967;180;0;0.15;0.05;15;3;1
10281;3580;1125;6452;180;0;0.15;0.05;15;3;1
1060;174;333;518;177.23;0;0.15;0.05;14.9880786;2.7349214;1
1813;854;332;2044;226.8;0;0.15;0.05;14.95;7.73;1
10484;3190;1093;214;222.48;0;0.15;0.05;14.95;7.298;1
10763;3719;1093;6718;173.04;0;0.15;0.05;14.95;2.354;1
6581;2360;849;5063;132.84;0;0.15;0.05;14.94;-1.656;0
1458;495;306;1046;108;0;0.15;0.05;14.93;-4.13;0
10325;3600;1141;6654;114.48;0;0.15;0.05;14.9;-3.452;0
3887;1599;493;1025;276;0;0.15;0.05;14.89;12.71;1
10023;2623;1054;5425;181;0;0.15;0.05;14.87;3.23;1
5108;2787;744;4581;127.8;0;0.15;0.05;14.8694498;-2.0894498;0
4987;922;415;233;228.9;0;0.15;0.05;14.8399053;8.0500947;1
5759;2166;103;1334;253.2;0;0.15;0.05;14.8347153;10.4852847;1
2713;820;446;1775;177.12;0;0.15;0.05;14.8176502;2.8943498;1
